States,RRP
NSW,216.15
NSW,213.55
NSW,205.15
NSW,165.1
NSW,160.84
NSW,146.53
NSW,134.97
NSW,104.89
NSW,130.0
NSW,114.36
NSW,114.39
NSW,123.24
NSW,110.52
NSW,103.72
NSW,106.02
NSW,106.65
NSW,81.52
NSW,90.72
NSW,87.89
NSW,100.01
NSW,96.03
NSW,103.26
NSW,102.79
NSW,94.94
NSW,111.15
NSW,106.59
NSW,104.89
NSW,95.65
NSW,104.89
NSW,104.89
NSW,104.89
NSW,104.79
NSW,103.0
NSW,104.89
NSW,104.89
NSW,107.97
NSW,89.17
NSW,88.83
NSW,74.85
NSW,76.0
NSW,73.1
NSW,70.33
NSW,76.0
NSW,74.98
NSW,63.47
NSW,56.9
NSW,68.56
NSW,128.75
NSW,79.93
NSW,61.97
NSW,61.39
NSW,61.55
NSW,76.0
NSW,62.47
NSW,62.47
NSW,61.98
NSW,61.99
NSW,62.62
NSW,76.0
NSW,76.72
NSW,95.64
NSW,76.72
NSW,65.0
NSW,62.05
NSW,72.99
NSW,76.0
NSW,76.0
NSW,76.0
NSW,71.14
NSW,70.93
NSW,73.39
NSW,76.0
NSW,71.63
NSW,76.0
NSW,71.73
NSW,72.03
NSW,72.02
NSW,72.9
NSW,72.01
NSW,72.9
NSW,61.55
NSW,65.0
NSW,69.99
NSW,72.89
NSW,75.09
NSW,61.55
NSW,57.0
NSW,61.55
NSW,61.32
NSW,65.0
NSW,56.98
NSW,56.98
NSW,56.52
NSW,56.98
NSW,56.98
NSW,57.0
NSW,57.0
NSW,56.98
NSW,56.98
NSW,57.0
NSW,57.0
NSW,55.98
NSW,56.98
NSW,55.97
NSW,56.98
NSW,56.98
NSW,55.3
NSW,61.08
NSW,56.98
NSW,56.98
NSW,54.57
NSW,54.62
NSW,54.32
NSW,54.62
NSW,54.65
NSW,43.84
NSW,54.34
NSW,43.82
NSW,38.37
NSW,42.73
NSW,42.8
NSW,40.54
NSW,40.56
NSW,42.82
NSW,40.55
NSW,42.54
NSW,42.17
NSW,42.78
NSW,35.88
NSW,42.41
NSW,42.5
NSW,42.75
NSW,42.34
NSW,37.0
NSW,42.77
NSW,42.41
NSW,37.0
NSW,42.39
NSW,37.0
NSW,43.24
NSW,40.81
NSW,42.73
NSW,44.09
NSW,43.9
NSW,44.42
NSW,9.79
NSW,0.25
NSW,0.0
NSW,-20.7
NSW,-23.0
NSW,-28.04
NSW,-33.25
NSW,-40.51
NSW,-42.01
NSW,-41.31
NSW,-41.37
NSW,-40.51
NSW,-41.37
NSW,-40.51
NSW,-40.51
NSW,-40.51
NSW,-39.68
NSW,-39.61
NSW,-34.29
NSW,-41.37
NSW,-43.18
NSW,-44.1
NSW,-43.18
NSW,-44.1
NSW,-42.01
NSW,-43.18
NSW,-43.18
NSW,-43.18
NSW,-43.18
NSW,-44.1
NSW,-46.44
NSW,-45.0
NSW,-46.11
NSW,-47.0
NSW,-50.09
NSW,-54.94
NSW,-51.26
NSW,-48.37
NSW,-48.98
NSW,-52.72
NSW,-54.45
NSW,-55.27
NSW,-55.87
NSW,-57.05
NSW,-51.88
NSW,-52.95
NSW,-56.43
NSW,-55.39
NSW,-53.97
NSW,-51.33
NSW,-57.05
NSW,-58.02
NSW,-57.05
NSW,-56.66
NSW,-56.2
NSW,-54.73
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-53.92
NSW,-57.05
NSW,-55.16
NSW,-53.15
NSW,-52.83
NSW,-57.05
NSW,-57.05
NSW,-57.05
NSW,-55.89
NSW,-57.05
NSW,-54.7
NSW,-57.05
NSW,-55.62
NSW,-52.91
NSW,-51.45
NSW,-50.84
NSW,-51.46
NSW,-52.19
NSW,-50.34
NSW,-50.03
NSW,-50.44
NSW,-49.95
NSW,-47.0
NSW,-45.67
NSW,-45.0
NSW,-43.18
NSW,-42.01
NSW,-42.01
NSW,-41.51
NSW,-38.65
NSW,-41.27
NSW,-40.5
NSW,-40.51
NSW,-40.51
NSW,-40.5
NSW,-39.13
NSW,-38.37
NSW,-37.36
NSW,-36.2
NSW,-34.0
NSW,-33.78
NSW,-23.0
NSW,-30.5
NSW,-24.81
NSW,-23.14
NSW,31.87
NSW,74.45
NSW,60.93
NSW,-27.78
NSW,-21.84
NSW,0.0
NSW,6.2
NSW,42.46
NSW,75.8
NSW,32.44
NSW,42.91
NSW,0.21
NSW,0.0
NSW,0.0
NSW,15.45
